

DBspace Usage Report: rootdbs             Owner: informix  Created: 06/10/2014


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     1 C:\ol_kg_data\rootdbs_dat.000                  4    51200    20278    30922

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 sysadmin:'informix'.syssyntable                                  31305        8
 sysadmin:'informix'.sysconstraints                               31313        8
 sysadmin:'informix'.sysreferences                                31321        8
 sysadmin:'informix'.syschecks                                    31329        8
 sysadmin:'informix'.sysdefaults                                  31337        8
 sysadmin:'informix'.syscoldepend                                 31345        8
 sysadmin:'informix'.sysprocedures                                31353        8
 sysadmin:'informix'.sysprocbody                                  31361        8
 sysadmin:'informix'.sysprocplan                                  31369        8
 sysadmin:'informix'.sysprocauth                                  31377        8
 sysadmin:'informix'.sysblobs                                     31385        8
 sysadmin:'informix'.sysopclstr                                   31393        8
 sysadmin:'informix'.systriggers                                  31401        8
 sysadmin:'informix'.systrigbody                                  31409        8
 sysadmin:'informix'.sysdistrib                                   31417        8
 sysadmin:'informix'.sysfragments                                 31425        8
 sysadmin:'informix'.sysfragauth                                  31433        8
 sysadmin:'informix'.sysxtdtypes                                  31441        8
 sysadmin:'informix'.sysxtddesc                                   31449        8
 sysadmin:'informix'.sysattrtypes                                 31457        8
 sysadmin:'informix'.sysinherits                                  31465        8
 sysadmin:'informix'.syscolattribs                                31473        8
 sysadmin:'informix'.syslogmap                                    31481        8
 sysadmin:'informix'.syscasts                                     31489       16
 sysadmin:'informix'.sysxtdtypeauth                               31505        8
 sysadmin:'informix'.sysams                                       31513        8
 sysadmin:'informix'.systabamdata                                 31521        8
 sysadmin:'informix'.sysopclasses                                 31529        8
 sysadmin:'informix'.syserrors                                    31537        8
 sysadmin:'informix'.systraceclasses                              31545        8
 sysadmin:'informix'.systracemsgs                                 31553        8
 sysadmin:'informix'.sysroutinelangs                              31561        8
 sysadmin:'informix'.syslangauth                                  31569        8
 sysadmin:'informix'.sysaggregates                                31577        8
 sysadmin:'informix'.sysroleauth                                  31585        8
 sysadmin:'informix'.sysobjstate                                  31593        8
 sysadmin:'informix'.sysviolations                                31601        8
 sysadmin:'informix'.syssequences                                 31609        8
 sysadmin:'informix'.sysdirectives                                31617        8
 sysadmin:'informix'.sysxasourcetypes                             31625        8
 sysadmin:'informix'.sysxadatasources                             31633        8
 sysadmin:'informix'.sysseclabelcomponents                        31641        8
 sysadmin:'informix'.sysseclabelcomponentelements                 31649        8
 sysadmin:'informix'.syssecpolicies                               31657        8
 sysadmin:'informix'.syssecpolicycomponents                       31665        8
 sysadmin:'informix'.syssecpolicyexemptions                       31673        8
 sysadmin:'informix'.sysseclabels                                 31681        8
 sysadmin:'informix'.sysseclabelnames                             31689        8
 sysadmin:'informix'.sysseclabelauth                              31697        8
 sysadmin:'informix'.syssurrogateauth                             31705        8
 sysadmin:'informix'.sysproccolumns                               31713        8
 sysadmin:'informix'.sysexternal                                  31721        8
 sysadmin:'informix'.sysextdfiles                                 31729        8
 sysadmin:'informix'.sysextcols                                   31737        8
 sysadmin:'informix'.sysautolocate                                31745        8
 sysadmin:'informix'.sysfragdist                                  31753        8
 sysadmin:'informix'.sysprocbody                                  31761        8
 sysadmin:'informix'.sysprocedures                                31769        8
 sysadmin:'informix'.sysprocbody                                  31777       16
 sysadmin:'informix'.sysprocauth                                  31793        8
 sysadmin:'informix'.sysprocbody                                  31801       32
 sysadmin:'informix'.sysprocedures                                31833       16
 sysadmin:'informix'.sysprocbody                                  31849       64
 sysadmin:'informix'.sysproccolumns                               31913        8
 sysadmin:'informix'.sysprocedures                                31921       32
 sysadmin:'informix'.sysprocauth                                  31953       16
 sysadmin:'informix'.sysprocbody                                  31969      128
 sysadmin:'informix'.sysprocplan                                  32097        8
 sysadmin:'informix'.sysproccolumns                               32105       16
 sysadmin:'informix'.sysprocplan                                  32121       16
 sysadmin:'informix'.sysprocedures                                32137       64
 sysadmin:'informix'.command_history                              32201        8
 sysadmin:'informix'.ix_cmd_hist_02                               32209        4
 sysadmin:'informix'.ph_group                                     32213        8
 sysadmin:'informix'.ix_ph_group_01                               32221        4
 rootdbs:'informix'.TBLSpace                                      32225      100
 sysadmin:'informix'.ix_ph_group_02                               32325        4
 sysadmin:'informix'.ph_task                                      32329        8
 sysadmin:'informix'. 102_4                                       32337        4
 sysadmin:'informix'.ix_ph_task_01                                32341        4
 sysadmin:'informix'.ix_ph_task_02                                32345        4
 sysadmin:'informix'.ix_ph_task_03                                32349        4
 sysadmin:'informix'.ph_run                                       32353        8
 sysadmin:'informix'.ix_ph_run_01                                 32361        4
 sysadmin:'informix'.ix_ph_run_02                                 32365        4
 sysadmin:'informix'.ix_ph_run_03                                 32369        4
 sysadmin:'informix'.ph_alert                                     32373        8
 sysadmin:'informix'.ix_ph_alert_01                               32381        4
 sysadmin:'informix'.ix_ph_alert_02                               32385        4
 sysadmin:'informix'.ph_threshold                                 32389        8
 sysadmin:'informix'.ix_ph_threshold_01                           32397        4
 sysadmin:'informix'.ix_ph_threshold_02                           32401        4
 sysadmin:'informix'.ph_bg_jobs                                   32405        8
 sysadmin:'informix'.ph_bg_jobs_ix1                               32413        4
 sysadmin:'informix'.ph_bg_jobs_ix2                               32417        4
 sysadmin:'informix'.ph_bg_jobs_ix3                               32421        4
 sysadmin:'informix'.ph_bg_jobs_results                           32425        8
 sysadmin:'informix'.ph_bg_jobs_results_ix1                       32433        4
 sysadmin:'informix'.ph_bg_jobs_results_ix2                       32437        4
 sysadmin:'informix'.ph_bg_jobs_seq                               32441        8
 sysadmin:'informix'.ph_version                                   32449        8
 sysadmin:'informix'.systables                                    32457        8
 sysadmin:'informix'.ph_version_ix1                               32465        8
 sysadmin:'informix'.storagepool                                  32473        8
 sysadmin:'informix'.ix_storagepool_1                             32481        4
 sysadmin:'informix'.sysprocbody                                  32485      128
 sysadmin:'informix'.sysprocplan                                  32613       96
 sysadmin:'informix'.mon_users                                    32709        8
 sysadmin:'informix'.mon_table_profile                            32717        8
 sysadmin:'informix'.mon_vps                                      32725        8
 sysadmin:'informix'.mon_memory_system                            32733        8
 sysadmin:'informix'.mon_checkpoint                               32741        8
 sysadmin:'informix'.idx_mon_ckpt_1                               32749        4
 sysadmin:'informix'.mon_prof                                     32753        8
 sysadmin:'informix'.mon_prof_idx1                                32761        6
 sysadmin:'informix'.mon_sysenv                                   32767        8
 sysadmin:'informix'.mon_config                                   32775        8
 FREE                                                             32783    18417

 Total Used:    20278
 Total Free:    30922



DBspace Usage Report: danekg1             Owner: informix  Created: 06/10/2014


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     2 C:\ol_kg_data\danekg1_1.000                    4    12800     1071    11729

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 RESERVED PAGES                                                       0        2
 CHUNK FREELIST PAGE                                                  2        1
 danekg1:'informix'.TBLSpace                                          3       50
 db1_kg:'informix'.systables                                         53        8
 db1_kg:'informix'.syscolumns                                        61       16
 db1_kg:'informix'.sysindices                                        77       64
 db1_kg:'informix'.systabauth                                       141        8
 db1_kg:'informix'.syscolauth                                       149        8
 db1_kg:'informix'.sysviews                                         157        8
 db1_kg:'informix'.sysusers                                         165        8
 db1_kg:'informix'.sysdepend                                        173        8
 db1_kg:'informix'.syssynonyms                                      181        8
 db1_kg:'informix'.syssyntable                                      189        8
 db1_kg:'informix'.sysconstraints                                   197        8
 db1_kg:'informix'.sysreferences                                    205        8
 db1_kg:'informix'.syschecks                                        213        8
 db1_kg:'informix'.sysdefaults                                      221        8
 db1_kg:'informix'.syscoldepend                                     229        8
 db1_kg:'informix'.sysprocedures                                    237        8
 db1_kg:'informix'.sysprocbody                                      245        8
 db1_kg:'informix'.sysprocplan                                      253        8
 db1_kg:'informix'.sysprocauth                                      261        8
 db1_kg:'informix'.sysblobs                                         269        8
 db1_kg:'informix'.sysopclstr                                       277        8
 db1_kg:'informix'.systriggers                                      285        8
 db1_kg:'informix'.systrigbody                                      293        8
 db1_kg:'informix'.sysdistrib                                       301        8
 db1_kg:'informix'.sysfragments                                     309        8
 db1_kg:'informix'.sysfragauth                                      317        8
 db1_kg:'informix'.sysxtdtypes                                      325        8
 db1_kg:'informix'.sysxtddesc                                       333        8
 db1_kg:'informix'.sysattrtypes                                     341        8
 db1_kg:'informix'.sysinherits                                      349        8
 db1_kg:'informix'.syscolattribs                                    357        8
 db1_kg:'informix'.syslogmap                                        365        8
 db1_kg:'informix'.syscasts                                         373       16
 db1_kg:'informix'.sysxtdtypeauth                                   389        8
 db1_kg:'informix'.sysams                                           397        8
 db1_kg:'informix'.systabamdata                                     405        8
 db1_kg:'informix'.sysopclasses                                     413        8
 db1_kg:'informix'.syserrors                                        421        8
 db1_kg:'informix'.systraceclasses                                  429        8
 db1_kg:'informix'.systracemsgs                                     437        8
 db1_kg:'informix'.sysroutinelangs                                  445        8
 db1_kg:'informix'.syslangauth                                      453        8
 db1_kg:'informix'.sysaggregates                                    461        8
 db1_kg:'informix'.sysroleauth                                      469        8
 db1_kg:'informix'.sysobjstate                                      477        8
 db1_kg:'informix'.sysviolations                                    485        8
 db1_kg:'informix'.syssequences                                     493        8
 db1_kg:'informix'.sysdirectives                                    501        8
 danekg1:'informix'.TBLSpace                                        509       50
 db1_kg:'informix'.sysxasourcetypes                                 559        8
 db1_kg:'informix'.sysxadatasources                                 567        8
 db1_kg:'informix'.sysseclabelcomponents                            575        8
 db1_kg:'informix'.sysseclabelcomponentelements                     583        8
 db1_kg:'informix'.syssecpolicies                                   591        8
 db1_kg:'informix'.syssecpolicycomponents                           599        8
 db1_kg:'informix'.syssecpolicyexemptions                           607        8
 db1_kg:'informix'.sysseclabels                                     615        8
 db1_kg:'informix'.sysseclabelnames                                 623        8
 db1_kg:'informix'.sysseclabelauth                                  631        8
 db1_kg:'informix'.syssurrogateauth                                 639        8
 db1_kg:'informix'.sysproccolumns                                   647        8
